customer_id,full_name,phone_number,home_city,segment,join_date,tenure_months,avg_monthly_topup_idr,device_changes_last_12mo
CUST10023,Kamila Pranowo,084539856591,Semarang,Postpaid,2026-04-02,3,97000,1
CUST10024,"Emas Zulaika, S.Pt",081152672624,Surabaya,Prepaid,2024-12-08,19,84000,0
CUST10025,Hj. Ella Nasyidah,086803191475,Jakarta,Prepaid,2025-06-06,13,148000,0
CUST10026,"Hesti Marpaung, M.M.",089610354039,Bandung,Prepaid,2026-05-02,2,88000,0
CUST10027,Humaira Uyainah,082217846198,Jakarta,Prepaid,2025-02-06,17,73000,1
CUST10028,"Puti Prasetya, S.Psi",080739888271,Surabaya,Prepaid,2025-07-06,12,53000,0
CUST10029,"Cut Ghaliyati Firmansyah, S.Psi",082843720138,Jakarta,Prepaid,2025-11-03,8,115000,0
CUST10030,Hasna Haryanto,086395919192,Semarang,Prepaid,2021-04-28,63,105000,2
CUST10031,Vino Purnawati,084736535270,Bandung,Postpaid,2022-02-22,53,131000,0
CUST10032,"Iriana Prabowo, M.Kom.",083063387334,Yogyakarta,Postpaid,2023-04-18,39,73000,0
CUST10033,Syahrini Haryanti,085163715483,Palembang,Prepaid,2026-01-02,6,112000,0
CUST10034,Eman Mandala,087634657976,Medan,Prepaid,2023-03-19,40,10000,0
CUST10035,Panca Purwanti,086609238109,Semarang,Postpaid,2026-04-02,3,99000,0
CUST10036,T. Pangeran Padmasari,084857331688,Balikpapan,Prepaid,2020-11-29,68,94000,1
CUST10037,Restu Wacana,082864591145,Bandung,Prepaid,2019-07-08,85,10000,1
CUST10038,Gawati Mandala,083748849418,Yogyakarta,Postpaid,2025-03-08,16,42000,0
CUST10039,drg. Bakijan Hardiansyah,087827424723,Denpasar,Prepaid,2024-09-09,22,45000,0
CUST10040,"Puti Eva Utami, S.E.",081267045424,Yogyakarta,Prepaid,2026-06-01,1,104000,0
CUST10041,"Ir. Indra Riyanti, S.Pt",088730378947,Balikpapan,Prepaid,2026-04-02,3,75000,0
CUST10042,Kezia Riyanti,088424367789,Yogyakarta,Postpaid,2018-03-15,101,116000,1
CUST10043,Paris Ramadan,080350614032,Balikpapan,Postpaid,2023-12-14,31,39000,0
CUST10044,Dt. Maman Latupono,087378200593,Makassar,Prepaid,2024-07-11,24,108000,0
CUST10045,"Timbul Nasyiah, S.T.",087679101165,Malang,Prepaid,2022-12-19,43,173000,0
CUST10046,"Ir. Ganep Kusumo, S.Pd",086716718910,Medan,Prepaid,2026-03-03,4,89000,1
CUST10047,Endah Hasanah,086937066178,Semarang,Postpaid,2025-02-06,17,65000,0
CUST10048,Xanana Saptono,087505606044,Balikpapan,Prepaid,2024-07-11,24,106000,0
CUST10049,KH. Cemani Mayasari,086874792854,Palembang,Prepaid,2021-01-28,66,48000,0
CUST10050,Tedi Utami,082880824630,Palembang,Postpaid,2025-09-04,10,71000,1
CUST10051,Zaenab Uyainah,084322585512,Makassar,Postpaid,2024-12-08,19,107000,0
CUST10052,Drs. Dalimin Mangunsong,085247402426,Palembang,Prepaid,2026-01-02,6,95000,0
CUST10053,Vanesa Marpaung,085395343273,Makassar,Prepaid,2025-09-04,10,116000,3
CUST10054,KH. Virman Nuraini,089617257598,Pekanbaru,Postpaid,2024-07-11,24,94000,0
CUST10055,Liman Sinaga,083371002967,Semarang,Postpaid,2026-05-02,2,119000,1
CUST10056,Anita Kusumo,085441094840,Bandung,Prepaid,2026-03-03,4,160000,1
CUST10057,Yance Samosir,081890254567,Malang,Prepaid,2024-02-12,29,104000,0
CUST10058,Asmianto Permadi,089254509076,Palembang,Prepaid,2025-10-04,9,116000,2
CUST10059,Puti Chelsea Laksita,081100452277,Semarang,Prepaid,2026-05-02,2,136000,0
CUST10060,"Puti Vanya Nasyidah, S.E.I",086976694569,Denpasar,Prepaid,2025-12-03,7,120000,1
CUST10061,Maryanto Kusmawati,080758944342,Surabaya,Prepaid,2025-03-08,16,75000,1
CUST10062,R.M. Eman Nuraini,084587602685,Yogyakarta,Prepaid,2026-02-01,5,46000,0
CUST10063,"Ir. Lintang Prabowo, M.Pd",085715429489,Jakarta,Prepaid,2024-07-11,24,124000,0
CUST10064,"H. Muhammad Pangestu, S.Pd",084311446470,Denpasar,Prepaid,2020-12-29,67,80000,3
CUST10065,Salsabila Yulianti,082178808405,Bandung,Prepaid,2025-08-05,11,115000,1
CUST10066,Maida Maryati,086725946196,Balikpapan,Prepaid,2026-03-03,4,113000,1
CUST10067,Devi Prayoga,083042819619,Medan,Postpaid,2026-05-02,2,89000,2
CUST10068,Atma Sirait,087444411571,Semarang,Postpaid,2025-02-06,17,99000,1
CUST10069,Lanjar Puspasari,087837207856,Bandung,Prepaid,2025-09-04,10,107000,0
CUST10070,Lanjar Prasetya,085355431652,Surabaya,Prepaid,2023-04-18,39,97000,1
CUST10071,Bagus Usamah,083493976191,Palembang,Prepaid,2025-03-08,16,95000,1
CUST10072,Dartono Hidayat,088845474614,Balikpapan,Prepaid,2024-02-12,29,94000,0
CUST10073,Satya Sitompul,086303659684,Semarang,Prepaid,2025-08-05,11,92000,0
CUST10074,Kamidin Prakasa,086262209771,Yogyakarta,Prepaid,2024-11-08,20,83000,0
CUST10075,Salsabila Laksita,089072315571,Surabaya,Prepaid,2025-11-03,8,64000,1
CUST10076,Kayun Mustofa,088629142208,Bandung,Postpaid,2026-06-01,1,66000,0
CUST10077,"Queen Permata, M.Kom.",081435642813,Semarang,Postpaid,2025-02-06,17,129000,1
CUST10078,Purwanto Kusmawati,082559296256,Denpasar,Prepaid,2024-08-10,23,181000,1
CUST10079,"dr. Dadap Kuswoyo, S.IP",089789728212,Pekanbaru,Prepaid,2019-03-10,89,159000,0
CUST10080,"Irfan Thamrin, S.Farm",086963457027,Pekanbaru,Postpaid,2025-10-04,9,59000,0
CUST10081,Nadia Habibi,081595982848,Surabaya,Postpaid,2026-06-01,1,119000,0
CUST10082,"Martani Yuliarti, S.IP",088407266385,Pekanbaru,Prepaid,2020-02-03,78,105000,0
CUST10083,Hadi Sirait,080546658912,Bandung,Prepaid,2026-03-03,4,120000,0
CUST10084,"R. Drajat Nababan, S.Kom",088592089341,Jakarta,Postpaid,2026-01-02,6,156000,1
CUST10085,drg. Cahyono Anggraini,089125339655,Jakarta,Prepaid,2020-06-02,74,101000,1
CUST10086,Estiawan Hariyah,088686926242,Pekanbaru,Postpaid,2024-09-09,22,24000,0
CUST10087,Taufan Hutagalung,089396029980,Makassar,Prepaid,2023-09-15,34,66000,0
CUST10088,Yani Pudjiastuti,089039728558,Medan,Postpaid,2026-05-02,2,103000,0
CUST10089,Asirwanda Yulianti,087752995718,Medan,Prepaid,2026-05-02,2,116000,0
CUST10090,Dt. Bakiman Prakasa,083750214104,Surabaya,Prepaid,2025-04-07,15,75000,0
CUST10091,Hasim Laksita,085426796360,Makassar,Postpaid,2024-09-09,22,35000,1
CUST10092,Gabriella Wacana,084174831165,Denpasar,Prepaid,2025-08-05,11,87000,2
CUST10093,Catur Wibowo,083525471685,Pekanbaru,Prepaid,2026-06-01,1,179000,1
CUST10094,Harsaya Saptono,084234404631,Medan,Prepaid,2024-10-09,21,90000,0
CUST10095,"KH. Jaeman Suwarno, S.Farm",080047310956,Denpasar,Prepaid,2024-07-11,24,111000,0
CUST10096,"Uchita Puspita, M.Kom.",088949023151,Palembang,Prepaid,2025-01-07,18,79000,2
CUST10097,Dadap Sihombing,088351224576,Denpasar,Postpaid,2026-06-01,1,109000,0
CUST10098,Asmianto Prastuti,080982173308,Malang,Postpaid,2026-06-01,1,96000,0
CUST10099,"Puput Halim, S.Psi",080790534133,Balikpapan,Prepaid,2025-10-04,9,60000,1
CUST10100,Asirwanda Padmasari,080016626442,Balikpapan,Postpaid,2023-03-19,40,60000,1
CUST10101,Olivia Nuraini,083165532902,Yogyakarta,Prepaid,2022-05-23,50,71000,2
CUST10102,Asmianto Melani,087214415256,Medan,Postpaid,2026-03-03,4,115000,1
CUST10103,Soleh Nashiruddin,083744034462,Makassar,Prepaid,2025-08-05,11,109000,1
CUST10104,Legawa Hidayat,089194634144,Palembang,Prepaid,2021-03-29,64,76000,2
CUST10105,"Setya Prakasa, S.Sos",088727065173,Bandung,Prepaid,2021-12-24,55,129000,0
CUST10106,Wardaya Purnawati,082116761747,Malang,Postpaid,2023-01-18,42,112000,0
CUST10107,Labuh Riyanti,086869393446,Balikpapan,Prepaid,2026-06-01,1,73000,1
CUST10108,Lukman Hutapea,080534080886,Semarang,Postpaid,2025-10-04,9,161000,0
CUST10109,Sakura Padmasari,084578486341,Yogyakarta,Prepaid,2025-11-03,8,128000,0
CUST10110,Drs. Iriana Rajata,081837512445,Jakarta,Prepaid,2024-05-12,26,116000,1
CUST10111,Mulyono Sihotang,083243576006,Surabaya,Prepaid,2025-03-08,16,112000,0
CUST10112,Eman Widodo,087698351396,Semarang,Prepaid,2024-12-08,19,124000,0
CUST10113,Mumpuni Yuliarti,085933786876,Palembang,Postpaid,2026-05-02,2,79000,0
CUST10114,Michelle Sihotang,086433129421,Yogyakarta,Prepaid,2023-09-15,34,52000,0
CUST10115,"R. Adika Haryanti, M.Ak",088178803713,Bandung,Prepaid,2024-03-13,28,95000,0
CUST10116,Puti Belinda Nasyiah,088781446242,Surabaya,Postpaid,2023-02-17,41,66000,0
CUST10117,Jono Saptono,082297916547,Pekanbaru,Prepaid,2018-01-14,103,94000,0
CUST10118,Wardi Tampubolon,085988126851,Palembang,Postpaid,2025-08-05,11,56000,1
CUST10119,Tasnim Prasasta,082729149243,Yogyakarta,Prepaid,2025-06-06,13,76000,1
CUST10120,Intan Manullang,080529309867,Jakarta,Prepaid,2025-03-08,16,84000,0
CUST10121,Zahra Palastri,082861740028,Surabaya,Prepaid,2026-04-02,3,73000,0
CUST10122,"Ilsa Suryatmi, M.TI.",085123047419,Yogyakarta,Postpaid,2024-06-11,25,106000,1
CUST10123,Mulyanto Puspasari,080521462460,Balikpapan,Postpaid,2025-11-03,8,146000,1
CUST10124,Salimah Jailani,089575080337,Makassar,Prepaid,2020-01-04,79,94000,0
CUST10125,Eman Latupono,083767730581,Makassar,Prepaid,2024-12-08,19,86000,1
CUST10126,Paiman Puspasari,089411790278,Malang,Prepaid,2024-08-10,23,68000,1
CUST10127,Empluk Suryono,085952713783,Makassar,Prepaid,2021-12-24,55,159000,0
CUST10128,R.A. Tina Siregar,084449316372,Bandung,Prepaid,2025-12-03,7,173000,0
CUST10129,Mahfud Usada,080685306364,Bandung,Prepaid,2026-02-01,5,53000,0
CUST10130,"Tgk. Ophelia Lestari, S.T.",083083929906,Pekanbaru,Prepaid,2025-09-04,10,55000,3
CUST10131,"Cut Cornelia Usada, S.Farm",088691670073,Makassar,Postpaid,2025-11-03,8,91000,2
CUST10132,"Tgk. Aurora Adriansyah, S.Psi",080143401332,Palembang,Postpaid,2021-09-25,58,115000,0
CUST10133,"R.M. Makuta Saptono, S.E.",087435224929,Bandung,Prepaid,2021-03-29,64,144000,1
CUST10134,"Maimunah Puspasari, S.Farm",081848406833,Denpasar,Postpaid,2026-06-01,1,132000,1
CUST10135,Dt. Balidin Hutagalung,085887967512,Bandung,Postpaid,2024-10-09,21,66000,0
CUST10136,"Eka Palastri, S.Gz",087053856039,Surabaya,Postpaid,2019-08-07,84,96000,0
CUST10137,"dr. Restu Puspasari, S.E.I",085780964638,Pekanbaru,Prepaid,2025-07-06,12,96000,0
CUST10138,Dian Gunarto,081949011137,Yogyakarta,Postpaid,2026-06-01,1,95000,3
CUST10139,Karimah Gunarto,088826513551,Makassar,Postpaid,2020-10-30,69,97000,1
CUST10140,Fathonah Zulaika,081693908097,Balikpapan,Postpaid,2025-05-07,14,30000,1
CUST10141,Mulyanto Jailani,087464629486,Semarang,Postpaid,2025-09-04,10,106000,0
CUST10142,Victoria Purwanti,080044263778,Semarang,Prepaid,2024-05-12,26,147000,0
CUST10143,"drg. Raina Mangunsong, S.H.",087512141098,Palembang,Postpaid,2022-10-20,45,90000,1
CUST10144,"R. Wirda Nugroho, S.Farm",089989711948,Palembang,Postpaid,2022-05-23,50,44000,0
CUST10145,Cemani Sitorus,080342502586,Denpasar,Prepaid,2023-10-15,33,74000,1
CUST10146,"dr. Rama Winarsih, S.H.",080112340053,Semarang,Postpaid,2026-02-01,5,127000,0
CUST10147,Endah Kurniawan,083458661039,Semarang,Prepaid,2025-06-06,13,15000,1
CUST10148,Ani Halimah,087155013446,Yogyakarta,Prepaid,2025-02-06,17,66000,1
CUST10149,Daliono Haryanti,083619723857,Yogyakarta,Postpaid,2020-08-31,71,138000,0
CUST10150,Ina Pradana,088369577604,Semarang,Prepaid,2021-05-28,62,17000,0
CUST10151,Ajiono Wahyuni,085751668160,Malang,Postpaid,2018-11-10,93,83000,0
CUST10152,Heru Sitompul,081444256487,Pekanbaru,Prepaid,2025-10-04,9,33000,0
CUST10153,Zelaya Hidayat,085594394556,Pekanbaru,Postpaid,2026-04-02,3,112000,0
CUST10154,"T. Gara Yuniar, M.TI.",086125292227,Pekanbaru,Prepaid,2026-04-02,3,100000,0
CUST10155,Shania Nasyiah,083972163989,Makassar,Prepaid,2025-09-04,10,47000,1
CUST10156,Ana Latupono,080909672825,Surabaya,Prepaid,2024-05-12,26,67000,0
CUST10157,Elma Prastuti,081720922134,Semarang,Postpaid,2026-03-03,4,66000,0
CUST10158,Ani Kurniawan,080594984193,Malang,Postpaid,2026-03-03,4,28000,0
CUST10159,drg. Jelita Sihotang,089055799181,Malang,Prepaid,2025-03-08,16,77000,1
CUST10160,Rachel Melani,087178202693,Jakarta,Prepaid,2023-05-18,38,57000,2
CUST10161,Harsana Permata,085815283767,Denpasar,Postpaid,2025-12-03,7,94000,2
CUST10162,Dodo Gunawan,087571888506,Jakarta,Prepaid,2026-02-01,5,74000,1
CUST10163,"Maya Adriansyah, M.TI.",084903423552,Surabaya,Postpaid,2025-05-07,14,10000,1
CUST10164,"Dr. Mahfud Winarsih, S.Kom",080134587319,Makassar,Postpaid,2026-01-02,6,108000,0
CUST10165,Mala Hidayat,086211764545,Semarang,Prepaid,2025-01-07,18,97000,0
CUST10166,"Viman Sitompul, M.Ak",087657553918,Malang,Postpaid,2025-05-07,14,21000,0
CUST10167,Salimah Maheswara,085135125058,Yogyakarta,Postpaid,2025-08-05,11,93000,0
CUST10168,"Ifa Mayasari, S.Pd",085404873875,Denpasar,Postpaid,2025-10-04,9,59000,0
CUST10169,"Hasan Simbolon, S.Sos",083099090477,Jakarta,Prepaid,2022-02-22,53,42000,1
CUST10170,"Ida Puspasari, S.E.I",083849309818,Pekanbaru,Prepaid,2023-06-17,37,50000,0
CUST10171,Imam Widiastuti,089319879474,Bandung,Postpaid,2024-10-09,21,85000,1
CUST10172,Shania Natsir,082329718478,Palembang,Postpaid,2026-04-02,3,50000,1
CUST10173,Ir. Ilsa Waskita,082105707422,Jakarta,Postpaid,2025-09-04,10,30000,2
CUST10174,Dt. Gadang Suwarno,085287356331,Jakarta,Postpaid,2026-05-02,2,67000,0
CUST10175,Irfan Prastuti,082309896449,Malang,Postpaid,2026-03-03,4,60000,0
CUST10176,Hj. Janet Hastuti,087341374837,Malang,Prepaid,2026-03-03,4,10000,1
CUST10177,Maimunah Wulandari,085951226980,Denpasar,Prepaid,2025-07-06,12,112000,3
CUST10178,Kajen Kusmawati,080360085622,Pekanbaru,Postpaid,2026-03-03,4,106000,1
CUST10179,"KH. Oman Narpati, S.Pt",089099194262,Makassar,Prepaid,2025-12-03,7,93000,1
CUST10180,Oliva Wijayanti,083246338487,Medan,Postpaid,2025-10-04,9,96000,0
CUST10181,"Lukman Sitorus, S.Pt",083452129541,Makassar,Postpaid,2026-05-02,2,10000,1
CUST10182,"R.A. Samiah Saragih, S.H.",083846628964,Makassar,Postpaid,2024-11-08,20,82000,0
CUST10183,"Sutan Cakrajiya Dongoran, S.Gz",081749560089,Surabaya,Prepaid,2026-06-01,1,37000,0
CUST10184,Jaswadi Suryatmi,087482705366,Malang,Prepaid,2026-04-02,3,125000,0
CUST10185,"Puti Mutia Agustina, M.Farm",086054075256,Balikpapan,Prepaid,2024-04-12,27,62000,1
CUST10186,Nasim Winarno,081011582334,Palembang,Postpaid,2025-04-07,15,14000,3
CUST10187,Lalita Prasasta,089268687035,Balikpapan,Postpaid,2023-12-14,31,44000,1
CUST10188,Marwata Ardianto,087086399892,Jakarta,Prepaid,2026-06-01,1,105000,1
CUST10189,"KH. Timbul Kurniawan, S.Farm",084009850939,Pekanbaru,Postpaid,2023-05-18,38,148000,0
CUST10190,Cecep Maryati,087730128383,Balikpapan,Postpaid,2026-03-03,4,101000,1
CUST10191,Alika Puspita,087607302066,Pekanbaru,Postpaid,2025-09-04,10,68000,1
CUST10192,Vero Maheswara,089367425315,Balikpapan,Prepaid,2023-03-19,40,10000,0
CUST10193,Diana Hariyah,087220237133,Palembang,Prepaid,2025-11-03,8,45000,1
CUST10194,"Karta Purwanti, M.Ak",089471045510,Bandung,Prepaid,2026-01-02,6,75000,0
CUST10195,Usyi Handayani,085780477592,Yogyakarta,Prepaid,2021-11-24,56,118000,1
CUST10196,Drs. Maria Pudjiastuti,086122112273,Yogyakarta,Postpaid,2020-12-29,67,26000,0
CUST10197,Endah Kusmawati,085113936833,Medan,Prepaid,2023-06-17,37,131000,1
CUST10198,Hana Prayoga,081392399264,Malang,Postpaid,2022-02-22,53,66000,0
CUST10199,"Hj. Ika Nurdiyanti, M.Kom.",083273919170,Balikpapan,Postpaid,2026-01-02,6,101000,1
CUST10200,"Digdaya Saefullah, M.M.",089278087613,Pekanbaru,Prepaid,2024-11-08,20,104000,0
CUST10201,Nasab Suwarno,087709445965,Semarang,Postpaid,2023-02-17,41,98000,0
CUST10202,Empluk Sitorus,085912616566,Makassar,Postpaid,2022-11-19,44,74000,1
CUST10203,Puput Hutapea,081027562346,Makassar,Prepaid,2026-01-02,6,46000,1
CUST10204,Cakrawangsa Pradipta,081942908733,Pekanbaru,Postpaid,2024-07-11,24,102000,0
CUST10205,Talia Mangunsong,084446338186,Medan,Postpaid,2025-09-04,10,160000,0
CUST10206,"Gabriella Haryanto, S.Farm",089755344761,Malang,Postpaid,2021-10-25,57,14000,0
CUST10207,Julia Namaga,083784402277,Malang,Prepaid,2020-09-30,70,145000,0
CUST10208,Lidya Halim,087531164933,Balikpapan,Prepaid,2024-10-09,21,183000,0
CUST10209,Rafi Andriani,081341689563,Palembang,Postpaid,2022-06-22,49,90000,1
CUST10210,Vera Padmasari,081313554459,Medan,Prepaid,2024-03-13,28,94000,0
CUST10211,"Ayu Permata, S.Sos",081218689413,Surabaya,Postpaid,2024-11-08,20,103000,1
CUST10212,Agnes Thamrin,086447415720,Yogyakarta,Postpaid,2023-11-14,32,45000,2
CUST10213,Umi Wibisono,082757455259,Medan,Postpaid,2021-07-27,60,80000,1
CUST10214,"drg. Paulin Palastri, M.Ak",087424762802,Yogyakarta,Prepaid,2024-10-09,21,61000,0
CUST10215,Jinawi Prasetya,088182768646,Bandung,Prepaid,2023-05-18,38,80000,0
CUST10216,Maya Laksita,088555192595,Medan,Postpaid,2025-10-04,9,119000,1
CUST10217,Harsaya Sirait,081740267113,Malang,Prepaid,2025-09-04,10,10000,1
CUST10218,"Mustika Waskita, S.E.",084524468052,Medan,Prepaid,2026-01-02,6,40000,0
CUST10219,"Dr. Dian Oktaviani, M.Pd",089307774630,Makassar,Prepaid,2025-03-08,16,79000,0
CUST10220,Umaya Wijaya,082422835543,Yogyakarta,Prepaid,2021-08-26,59,128000,1
CUST10221,Ir. Salimah Dongoran,080680914949,Malang,Prepaid,2024-05-12,26,11000,0
CUST10222,Margana Aryani,081926239133,Surabaya,Prepaid,2020-03-04,77,74000,0
CUST10223,Sakti Hariyah,084002055403,Pekanbaru,Postpaid,2015-03-01,138,41000,0
CUST10224,Asirwanda Rajata,086420813238,Bandung,Prepaid,2024-10-09,21,86000,0
CUST10225,Jane Prabowo,080561327964,Surabaya,Postpaid,2022-01-23,54,84000,0
CUST10226,Jane Sirait,088117347262,Medan,Prepaid,2026-02-01,5,84000,1
CUST10227,"dr. Estiawan Andriani, S.T.",087290882613,Balikpapan,Postpaid,2023-08-16,35,63000,0
CUST10228,"Puti Nadine Budiyanto, M.Pd",087723260803,Malang,Prepaid,2025-02-06,17,10000,1
CUST10229,Wawan Tampubolon,083845149050,Makassar,Postpaid,2026-03-03,4,35000,2
CUST10230,Martaka Hidayat,089932774465,Medan,Prepaid,2025-12-03,7,41000,0
CUST10231,"Ir. Arta Dabukke, S.H.",080099135766,Surabaya,Prepaid,2026-03-03,4,155000,1
CUST10232,Salman Damanik,087800446377,Semarang,Prepaid,2026-06-01,1,57000,1
CUST10233,R. Halima Mahendra,087719577117,Bandung,Prepaid,2026-05-02,2,56000,1
CUST10234,Salsabila Latupono,087082075043,Semarang,Prepaid,2024-06-11,25,71000,0
CUST10235,R.A. Nadia Rajasa,081178617080,Denpasar,Postpaid,2024-01-13,30,76000,2
CUST10236,"Tgk. Caturangga Sudiati, M.Ak",083919087622,Jakarta,Prepaid,2024-05-12,26,59000,1
CUST10237,"Tina Latupono, S.E.",082035918990,Pekanbaru,Prepaid,2026-05-02,2,48000,0
CUST10238,Cici Prastuti,087304327723,Denpasar,Prepaid,2026-06-01,1,98000,0
CUST10239,Wisnu Saragih,087571905660,Denpasar,Postpaid,2022-02-22,53,35000,1
CUST10240,Hj. Keisha Widodo,087373294991,Makassar,Prepaid,2025-12-03,7,138000,0
CUST10241,"Faizah Hutagalung, M.Farm",080284847556,Semarang,Prepaid,2024-08-10,23,15000,0
CUST10242,"Yance Utami, S.H.",085061289383,Palembang,Prepaid,2024-12-08,19,15000,2
CUST10243,Mursinin Sihombing,082917114313,Denpasar,Prepaid,2022-07-22,48,63000,0
CUST10244,"Hj. Rahayu Lazuardi, M.Farm",083211686083,Medan,Prepaid,2022-02-22,53,72000,0
CUST10245,"Dt. Ganjaran Nasyidah, S.Farm",089302819855,Bandung,Postpaid,2025-12-03,7,139000,0
CUST10246,"Hairyanto Hidayat, M.TI.",081710721469,Bandung,Prepaid,2024-07-11,24,60000,2
CUST10247,"Ganep Budiman, S.Farm",085909168088,Bandung,Postpaid,2026-03-03,4,68000,0
CUST10248,"Dr. Cici Astuti, S.I.Kom",089094743439,Bandung,Prepaid,2026-06-01,1,20000,1
CUST10249,"Tri Haryanti, S.E.I",084166648403,Semarang,Prepaid,2023-01-18,42,107000,0
CUST10250,Elma Nurdiyanti,086729503747,Palembang,Postpaid,2026-06-01,1,95000,1
CUST10251,"Emong Susanti, M.Pd",085313287095,Makassar,Postpaid,2026-03-03,4,124000,1
CUST10252,"drg. Jaka Fujiati, M.Farm",089162890928,Balikpapan,Postpaid,2025-08-05,11,60000,0
CUST10253,Janet Prasasta,089912373573,Palembang,Prepaid,2023-11-14,32,86000,0
CUST10254,"Puti Indah Hartati, S.H.",081988951006,Balikpapan,Postpaid,2024-09-09,22,61000,0
CUST10255,"drg. Kairav Suryatmi, S.Sos",084368318801,Jakarta,Postpaid,2025-09-04,10,29000,1
CUST10256,Ana Lailasari,087889393131,Pekanbaru,Postpaid,2024-11-08,20,168000,2
CUST10257,"dr. Elvina Laksita, S.Kom",087961969725,Surabaya,Prepaid,2026-06-01,1,73000,0
CUST10258,Wirda Rajata,083617993990,Surabaya,Prepaid,2024-10-09,21,85000,1
CUST10259,Indah Riyanti,089925917291,Balikpapan,Prepaid,2023-08-16,35,59000,0
CUST10260,"Ika Puspita, S.Ked",084220210379,Bandung,Prepaid,2026-06-01,1,84000,1
CUST10261,Sutan Bakiadi Permadi,088338757247,Palembang,Prepaid,2026-01-02,6,156000,2
CUST10262,"Laila Lestari, M.Pd",080213810993,Jakarta,Prepaid,2025-12-03,7,14000,0
CUST10263,"Sutan Muhammad Kusmawati, M.Kom.",087466403945,Balikpapan,Prepaid,2021-08-26,59,131000,0
CUST10264,Widya Budiyanto,082220581342,Pekanbaru,Postpaid,2020-08-01,72,32000,0
CUST10265,Emil Prasetya,084026941748,Malang,Postpaid,2022-06-22,49,76000,2
CUST10266,Talia Prasasta,086333104285,Semarang,Prepaid,2024-03-13,28,67000,0
CUST10267,Salimah Prastuti,080359558845,Surabaya,Prepaid,2026-01-02,6,110000,2
CUST10268,Nabila Puspasari,088409759866,Denpasar,Postpaid,2024-02-12,29,118000,0
CUST10269,Tgk. Irwan Pudjiastuti,081998149496,Bandung,Prepaid,2024-03-13,28,90000,0
CUST10270,Kamila Hasanah,083780558590,Balikpapan,Prepaid,2021-06-27,61,130000,1
CUST10271,Ina Ramadan,085711559117,Pekanbaru,Postpaid,2023-01-18,42,82000,0
CUST10272,Banawa Nababan,088826541466,Semarang,Postpaid,2024-10-09,21,68000,0
CUST10273,Devi Nasyiah,083860423373,Palembang,Prepaid,2024-03-13,28,73000,0
CUST10274,"H. Cengkal Nababan, S.Kom",089237737604,Denpasar,Prepaid,2024-01-13,30,78000,0
CUST10275,"Novi Saefullah, M.Farm",087885135188,Palembang,Prepaid,2023-06-17,37,67000,0
CUST10276,"Dr. Lembah Suryono, S.IP",081882497285,Jakarta,Postpaid,2024-08-10,23,96000,0
CUST10277,"R.A. Ida Pradana, S.I.Kom",086244945382,Malang,Prepaid,2026-06-01,1,121000,1
CUST10278,Gada Budiman,082315986624,Pekanbaru,Prepaid,2022-06-22,49,114000,2
